"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
First Line","1. [Intro]
1. ...         Then off to reap the corn,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
1. ...         Then off to reap the corn,","1. [Intro]
2. ...         and leave where I was born"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
2. ...         and leave where I was born","1. [Intro]
3. ...         I cut a stout black thorn,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
3. ...         I cut a stout black thorn,","1. [Intro]
4. ...         for to banish ghosts and goblins"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
4. ...         for to banish ghosts and goblins","1. [Intro]
5. ...         A brand new pair of brogues,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
5. ...         A brand new pair of brogues,","1. [Intro]
6. ...         to rattle over the bogs"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
6. ...         to rattle over the bogs","1. [Intro]
7. ...         And frightened all the dogs"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
7. ...         And frightened all the dogs","1. [Intro]
8. ...         on the rocky road to Dublin"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
8. ...         on the rocky road to Dublin","1. [Intro]
9. ...         One, two, three,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
9. ...         One, two, three,","1. [Intro]
10. ..          four, five"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
1. [Intro]
10. ..          four, five","2. [Verse]
1. <Am>--      Well, in the merry month of May,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
2. [Verse]
1. <Am>--      Well, in the merry month of May,","2. [Verse]
2. <Am>--      from me home I started"
